test_name, test_tag, generator, container, capacity, duration, threads, throughput, thread_throughput, hit_rate, pull_threshold, purge_threshold
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.24, 32, 3.86802e+06, 120876, 0.829037, 0.1, 0.01
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.3355, 32, 1.51693e+06, 47404.2, 0.832428, 0.4, 0.01
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.7007, 32, 772952, 24154.7, 0.85287, 0.7, 0.01
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.3393, 32, 689848, 21557.8, 0.859935, 0.9, 0.01
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.2976, 32, 4.13128e+06, 129102, 0.827321, 0.001, 0.1
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.1175, 32, 3.46535e+06, 108292, 0.82946, 0.01, 0.1
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.2182, 32, 3.517e+06, 109906, 0.830122, 0.1, 0.1
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.3469, 32, 2.92129e+06, 91290.3, 0.833261, 0.4, 0.1
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.6676, 32, 2.22503e+06, 69532.3, 0.845776, 0.7, 0.1
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.183, 32, 2.17405e+06, 67939, 0.849185, 0.9, 0.1
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.271, 32, 3.36465e+06, 105145, 0.830593, 0.001, 0.4
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.1784, 32, 3.78796e+06, 118374, 0.831188, 0.01, 0.4
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.3389, 32, 3.54767e+06, 110865, 0.832088, 0.1, 0.4
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.2181, 32, 3.46029e+06, 108134, 0.836034, 0.4, 0.4
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.086, 32, 3.39862e+06, 106207, 0.843284, 0.7, 0.4
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.2238, 32, 3.35452e+06, 104829, 0.847361, 0.9, 0.4
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.3112, 32, 3.51412e+06, 109816, 0.833435, 0.001, 0.7
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.3067, 32, 3.97732e+06, 124291, 0.831815, 0.01, 0.7
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.2349, 32, 3.73605e+06, 116751, 0.832815, 0.1, 0.7
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.1651, 32, 3.64269e+06, 113834, 0.837151, 0.4, 0.7
